,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
513,O=C(c1ccc2ccccc2c1)C(F)F,206.19099999999997,3.287600000000001,2,17.07,2,2,0,1
514,CC=CC=CC(O)C(F)(F)C(=O)C(C)(C)C,232.26999999999995,2.730100000000001,4,37.3,0,0,1,2
515,CC(=O)c1ccc(C(O)C(F)(F)C(=O)c2ccccn2)cc1,305.28,2.8358000000000008,5,67.25999999999999,2,2,1,4
516,Nc1cc(-c2ccccc2)c(C(=O)O)cn1,214.224,2.029,2,76.21000000000001,2,2,2,3
517,O=C1c2ccccc2C(=O)N1CC(O)C(F)(F)C(=O)C12CC3CC(CC(C3)C1)C2,403.42500000000024,3.064300000000002,5,74.68,6,1,1,4
518,O=C(c1ccc(Cl)cc1)C(F)(F)C(NCc1ccccc1)c1ccccc1,385.84100000000007,5.689100000000004,7,29.1,3,3,1,2
519,O=C(c1ccc2ccccc2c1)C(F)(F)C(NS(=O)(=O)c1ccccc1)c1ccccc1,451.49400000000014,5.377600000000004,7,63.24,4,4,1,3
520,CC=CC=CC(NCc1ccccc1)C(F)(F)C(=O)c1ccc2ccccc2c1,391.4610000000001,5.9485000000000054,8,29.1,3,3,1,2
521,O=C(c1ccc2ccccc2c1)C(F)(F)C(NCc1ccccc1)c1ccccc1,401.4560000000001,6.188900000000005,7,29.1,4,4,1,2
522,Clc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1,424.33100000000024,6.185100000000004,4,39.940000000000005,5,4,0,4
523,Fc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1,407.8760000000002,5.670800000000004,4,39.940000000000005,5,4,0,4
524,Fc1ccccc1-n1nc2c(cnc3ccccc32)c1OCc1ccccc1Cl,403.84400000000016,5.945200000000003,4,39.94,5,5,0,4
525,Fc1ccccc1COc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3,407.8760000000002,5.670800000000004,4,39.940000000000005,5,4,0,4
526,CC(C)(O)C(=O)c1oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO,499.35000000000025,5.353000000000006,6,112.66000000000001,4,4,3,6
527,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCCC4)cc1,424.33100000000024,6.185100000000004,4,39.94,5,4,0,4
528,Clc1ccc(-n2nc3c4c(ncc3c2Oc2ccccc2Cl)CCCC4)cc1,410.3040000000002,6.398400000000004,3,39.94,5,4,0,4
529,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCOC4)cc1,426.3030000000002,5.379000000000003,4,49.17,5,4,0,5
530,Clc1ccc(-n2nc3c(cnc4ccccc43)c2OCC2CC2)cc1,349.8210000000002,5.015900000000003,4,39.94,5,4,0,4
531,CC1(C)CCc2ncc3c(OCc4ccccc4Cl)n(-c4ccc(Cl)cc4)nc3c2C1,452.38500000000016,6.821200000000005,4,39.94,5,4,0,4
532,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCCCC4)cc1,438.3580000000003,6.575200000000004,4,39.94,5,4,0,4
533,Clc1ccc(-n2nc3c4c(ncc3c2OCc2cccc(Cl)c2)CCCC4)cc1,424.33100000000024,6.185100000000004,4,39.94,5,4,0,4
534,FC(F)(F)c1ccccc1COc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3,457.88300000000027,6.550500000000006,4,39.940000000000005,5,4,0,4
535,Clc1ccc(-n2nc3c4c(ncc3c2OCC2CC2)CCCC4)cc1,353.85300000000024,4.741500000000004,4,39.94,5,3,0,4
536,Clc1ccc(-n2nc3c(cnc4ccccc43)c2OCc2ccccc2Cl)cc1,420.2990000000002,6.459500000000004,4,39.94,5,5,0,4
537,Clc1ccccc1COc1c2cnc3ccccc3c2nn1-c1ccc2c(c1)OCO2,429.8630000000002,5.534800000000004,4,58.400000000000006,6,5,0,6
538,Clc1ccc(-n2nc3c(cnc4ccc(-n5ccnc5)cc43)c2OCC2CC2)cc1,415.88400000000024,5.2016000000000036,5,57.760000000000005,6,5,0,6
539,CCCCNC(=O)c1cc(-c2ccc(F)cc2F)ccc1O,305.32399999999996,3.8673000000000024,5,49.33,2,2,2,2
540,CC(=O)NCCCCNC(=O)CCCN.Cl,251.75799999999998,0.17959999999999993,8,84.22,0,0,3,3
541,Cl.Cl.NCCCC(=O)NCCNC(=O)CCCN,303.23400000000015,-0.4597999999999986,9,110.24,0,0,4,4
542,NCCCC(N)=O.O=C(O)C(F)(F)F,216.15899999999996,-0.15609999999999946,3,106.41000000000001,0,0,3,3
543,Cl.Cl.NCCCC(=O)NCCCCCCNC(=O)CCCN,359.34200000000016,1.1006000000000002,13,110.24,0,0,4,4
544,CCCCNC(=O)CCCN.Cl,194.70599999999996,1.0634,6,55.120000000000005,0,0,2,2
545,Cl.Cl.NCCCCNC(=O)CCCN,246.18199999999996,0.42400000000000004,7,81.14,0,0,3,3
546,CC(C)c1cc(CCCC2(C)N=N2)cc(C(C)C)c1O,274.408,5.143700000000005,6,44.95,2,1,1,3
547,CCOC(=O)c1cncn1C(C)c1ccccc1,244.294,2.669100000000001,4,44.12,2,2,0,4
548,CCOC(=O)c1cncn1C(C)c1ccc(C2(C(F)(F)F)N=N2)cc1,352.316,3.850000000000003,5,68.84,3,2,0,6
