,SMILES
201,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O
202,CN1CCC2(O)c3cc(I)ccc3N(C)C12c1ccccc1
203,O=C(NC1CCc2ccccc21)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
204,CC1(C)C2CCC(C(O)C(F)(F)C(=O)c3ccc4c(c3)OCO4)C1C2
205,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1
206,NC1(C(=O)O)C(F)CC2C(C(=O)O)C21
207,CNc1ccc(C(=O)O)cn1
208,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O
209,Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1-c1cccc(COc2ccc(C(=O)O)c(F)c2)c1
210,CN(C)C(=O)Cc1c(-c2ccc(F)cc2)nc2ccc(F)cn12
211,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(NS(=O)(=O)c1ccccc1)c1ccccc1
212,CC(C)(C)OC(=O)NC(c1ccccc1)C(F)(F)C(=O)c1ccc2ccccc2c1
213,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)c1ccc(Cl)cc1
214,OC(c1ccnc(Cl)c1)(c1ccc2c(cnn2-c2ccc(F)cc2)c1)C(F)(F)F
215,Nc1cc(-c2ccccc2)c(C(=O)O)cn1
216,COc1ccc2cnc3c(C(=O)NCc4cccs4)cnn3c2c1
217,CCC1CN2CCC3(O)C(=Nc4cccc(-c5ccoc5)c43)C2CC1C(=COC)C(=O)OC
218,NCCc1no[nH]c1=O
219,O=C1c2ccccc2C(=O)N1CC(O)C(F)(F)C(=O)C12CC3CC(CC(C3)C1)C2
220,CCOC(=O)C1C(CC)=NC(=S)NC1c1cccc(O)c1
221,Cc1ccc2nc(-c3cccs3)c(NC(=O)c3ccc(Cl)cc3)n2c1
