,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
129,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.716,3.360500000000002,2,84.6,3,2,1,4
130,O=C(NNc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12,348.189,3.800700000000001,4,73.99000000000001,3,3,3,3
131,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccccc12,292.338,2.7095000000000002,5,61.96,3,3,2,2
132,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)cc1,436.26100000000014,6.308100000000003,3,43.84,3,3,1,4
133,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,390.43900000000014,4.618200000000003,7,73.44,4,4,1,5
134,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1,418.27100000000013,6.169000000000003,3,43.84,3,3,1,4
135,C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(-c4ccccc4)no3)ncn1-2,393.40600000000006,3.4712000000000023,2,77.05000000000001,6,4,0,6
136,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.293,1.7736999999999998,2,64.43,3,2,0,5
137,COCCNc1nn2c(-c3ccc(OC)cc3)nnc2c2ccccc12,349.3940000000001,3.011400000000001,6,73.57000000000001,4,4,1,7
138,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12,280.283,2.6949000000000005,3,82.19,3,3,3,3
139,O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12,330.74600000000004,3.459500000000001,4,61.96,3,3,2,2
140,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc(Br)cc12,387.23300000000006,3.177600000000001,5,82.19,3,3,3,3
141,CCCCCn1ncc2c(N)c(C(=O)NCCCC)cnc21,303.41,2.733600000000001,8,85.83,2,2,2,5
142,Cn1cc(C(=O)C(=O)NCCc2ccc(Cl)cc2)c2ccccc21,340.81000000000006,3.373300000000002,5,51.1,3,3,1,3
143,Nc1nc(CCC(=O)O)cs1,172.209,0.7424999999999999,3,76.21,1,1,2,4
144,CCCCCNC(=O)C1=CCC(N)C1,196.29399999999998,1.3402999999999998,5,55.120000000000005,1,0,2,2
145,CCCC[PH](=O)(=O)C1=CCC(N)C1,203.22199999999995,2.2324,4,60.16,1,0,1,3
146,ClCc1nnc2ccc(-c3ccccc3)nn12,244.68500000000003,2.530100000000001,2,43.08,3,3,0,4
147,CC(C)(C)OC(=O)c1ncn2c1CN(C(=O)N1CCOCC1)c1ccccc1-2,384.4360000000002,2.599800000000001,1,76.9,4,2,0,6
148,CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21,335.367,3.1575000000000015,3,78.22,5,4,0,7
149,COc1ccc(-c2cc(C#N)c(=O)[nH]c2-c2ccc(N(C)C)cc2)cc1,345.40200000000004,3.6551800000000023,4,69.11999999999999,3,3,1,4
150,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(Br)cc1,497.16700000000014,6.931500000000003,3,43.84,3,3,1,4
151,CC12NC(Cc3ccc(N=C=S)cc31)c1ccccc12,278.38,3.884800000000002,1,24.39,4,2,1,3
152,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)c(Cl)c1,470.70600000000013,6.961500000000003,3,43.84,3,3,1,4
153,OCc1cc2c(cn1)[nH]c1ccccc12,198.22500000000002,2.2084,1,48.910000000000004,3,3,2,2
154,Cc1ccc(C(CN)CC(=O)O)s1,199.27500000000003,1.57352,4,63.32000000000001,1,1,2,3
155,COc1ccccc1-c1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,448.2970000000001,6.177600000000003,4,53.07,3,3,1,5
156,N=c1ccc(-c2cccc(OCc3ccccc3)c2)nn1CCCC(=O)O,363.41700000000014,3.473370000000001,8,88.2,3,3,2,5
157,N=c1ccc(-c2cccc(N)c2)nn1CCCC(=O)O,272.30799999999994,1.4765700000000004,5,104.99,2,2,3,5
158,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C(F)(F)F)cc1,486.26800000000014,7.187800000000004,3,43.84,3,3,1,4
159,N#[N+]c1ccc2cccc(S(=O)(=O)[O-])c2c1,234.23599999999996,2.2284800000000002,1,85.35,2,2,0,4
160,Cn1c2ccccc2c2cc3c(nc21)CCCC3=O,250.30099999999993,3.2455000000000016,0,34.89,4,3,0,3
161,Cn1c2ccccc2n2c(=O)c(-c3ccccc3)nnc12,276.29900000000004,2.2481999999999998,1,52.19,4,4,0,5
162,CN(Cc1cccnc1)C1C2C3CC4C5C3CC2C5C41,266.388,2.6598000000000006,3,16.130000000000003,6,1,0,2
163,O=C(CNC(=O)c1ccc(F)cc1)NC(c1ccccc1)c1cccc(Cl)c1,396.84900000000005,4.114700000000003,6,58.2,3,3,2,2
164,Cc1cccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)c1,293.326,2.802320000000001,4,73.99,3,3,3,3
165,COC(=O)Nc1cc2c(cn1)[nH]c1ccccc12,241.25000000000003,2.894400000000001,1,67.00999999999999,3,3,2,3
166,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12,358.7810000000001,2.7741000000000007,5,102.41999999999999,3,3,4,4
167,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2,325.39300000000014,2.7582000000000013,3,56.49000000000001,4,3,0,6
