Code,SMILES
P7020160690,CSc1nc(NCCCO)c(C#N)c(-c2ccc(C(C)(C)C)cc2)n1
P7020160689,CSc1nc(NCCO)c(C#N)c(-c2ccc(C(C)(C)C)cc2)n1
P7020141026,O=C(CSc1nnc2ccc3ccccc3n12)c1cc2ccccc2o1
P7020140886,O=C(CSc1nnc2cc(-c3ccccc3)ncn12)Nc1ccccc1
P7019081259,O=C(O)c1nc(NCCCO)c2ccccc2n1
P7019081257,O=C(O)c1nc(NC2CCCCC2)c2ccccc2n1
P7019080356,Cl.O=C(O)c1ccc2c(NC3CCCC3)ncnc2c1
P7018850983,Cc1ccn2cc(-c3ccc(-c4ccccc4)cc3)nc2c1
P7018810807,CC(NC(=O)CSc1cnnc(O)n1)c1ccccc1
P7018810761,Cc1ccc(NC(=O)CSc2cnnc(O)n2)cc1C
P7018810579,Cc1nnc(O)nc1SCC(=O)Nc1cc(C(F)(F)F)ccc1Cl
P7018810566,Cc1nnc(O)nc1SCC(=O)NCc1ccco1
P7018810551,CCCOC(=O)c1ccc(NC(=O)CSc2nc(O)nnc2C)cc1
P7018810424,Cc1nnc(N/N=C/c2ccncc2)nc1N/N=C/c1ccncc1
P7018801347,O=c1cnnc(NC2CCCC2)[nH]1
P7018790057,CCCc1cc(=O)n2c(C(=O)Nc3cccc(C)c3)c(C(=O)Nc3ccc(Cl)cc3C)sc2n1
P7018771476,COc1ccc(C(=O)Cn2c3ccccc3c3nc4ccccc4nc32)cc1
P7018720325,Cc1ccc(Cl)cc1NC(=O)C(C)n1cnc2sc(-c3ccccc3)cc2c1=O
P7018670048,Brc1ccc2ncnc(NC3CCCCCC3)c2c1
P7018655636,Fc1ccc(-c2cn3ccccc3n2)cc1
P7017670004,Brc1ccc2ncnc(NC3CCCC3)c2c1
P7017670003,c1ccc2c(NC3CCCCCC3)ncnc2c1
P7017550383,Cc1c(Cl)ccc2c(NCCO)c(C(=O)O)cnc12.Cl
P7017550367,COc1ccc(Nc2c(C(=O)O)cnc3c(C)c(Cl)ccc23)c(OC)c1.Cl
P7016390396,COc1ccc(CCNC(=O)Cn2cnc3sc(C(N)=O)c(C)c3c2=O)cc1OC
P7016350283,Cc1nc2ccc(Br)cc2c(O)c1CN1CCc2ccccc2C1
P7016350264,Cc1nc2ccccc2c(O)c1CN1CCc2ccccc2C1
P7016350044,CCN1CCN(Cc2c(C)nc3ccc(N(CC)CC)cc3c2O)CC1
P7016350006,Cc1nc2ccc(F)cc2c(O)c1CN1CCc2ccccc2C1
P7016270351,O=c1c2cc(-c3ccccc3)sc2ncn1CCOc1ccccc1
P7016270226,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)Nc1cc(C(F)(F)F)ccc1Cl
P7016270205,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)Nc1ccccc1
P7016270204,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)NCc1ccco1
P7016000361,Nc1cc(=O)[nH]c(SCc2ccccc2CSc2nc(N)cc(=O)[nH]2)n1
P7015880278,COCCOC(=O)Cn1nnc2sc(-c3ccccc3)cc2c1=O
P7015870187,O=C(Cn1nnc2sc(-c3ccccc3)cc2c1=O)NCCc1ccccc1
P7015870153,O=C(Cn1nnc2sc(-c3ccccc3)cc2c1=O)NCc1ccccc1
P7015870152,O=C(Cn1nnc2sc(-c3ccccc3)cc2c1=O)Nc1ccccc1
P7015870151,O=C(Cn1nnc2sc(-c3ccccc3)cc2c1=O)NCc1ccco1
P7015810026,Nc1c(C(=O)NCc2ccccc2)c2nc3ccccc3nc2n1Cc1ccco1
P7015550286,Cc1cc(C)nc(NC2CCCCC2)n1.Cl
P7015070029,O=C(NCCO)c1nc(NCCO)c2ccccc2n1
P7015070024,O=C(NCc1ccccc1)c1nc(NCc2ccccc2)c2ccccc2n1
P7015070001,O=C(Nc1ccccc1)c1nc(Nc2ccccc2)c2ccccc2n1
P7014650202,CCOC(=O)c1cnc2c(C)c(C)ccc2c1NCc1ccccc1
P7014320479,CC1CCc2c(sc3ncnc(NCCc4nc5ccccc5[nH]4)c23)C1
P7014320060,CCOC(=O)c1sc2ncnc(Nc3ccc(OC)cc3)c2c1C
P7014260781,COC(=O)C(C)Oc1ccc2c(=O)c(Oc3cc(C)cc(C)c3C)coc2c1
P7013990087,CCOC(=O)c1sc2ncn(CC(=O)NC3CCCCC3)c(=O)c2c1C
P7013990076,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)NC1CCCCC1
P7013980245,CCOC(=O)c1cnc2ccc(F)cc2c1NCCc1ccc(OC)c(OC)c1
P7013980235,CCOC(=O)c1cnc2ccc(F)cc2c1Nc1ccc(C(C)=O)cc1
P7013980184,CCOC(=O)c1cnc2ccc(F)cc2c1NCc1cccnc1
P7013980091,CCOC(=O)c1nc(Nc2ccc(OC(C)C)cc2)c2ccccc2n1
P7013980068,CCOC(=O)c1nc(Nc2ccc(Br)cc2)c2ccccc2n1
P7013980006,CCOC(=O)c1nc(Nc2ccc(C)cc2)c2ccccc2n1
P7013870443,CCOC(=O)c1cnc2ccc(Cl)cc2c1Nc1cc(Cl)ccc1O
P7013870150,CC(O)C(Nc1ncnc2ccc(Br)cc12)C(=O)O
P7013831110,CCOc1ccccc1NC(=O)Cn1cnc2sc(-c3ccccc3)cc2c1=O
P7013830872,COC(=O)c1sc2ncn(Cc3cccc(Cl)c3)c(=O)c2c1C
P7013830868,COC(=O)c1sc2ncn(Cc3cccc(C)c3)c(=O)c2c1C
P7013830795,CCOC(=O)c1sc2ncn(CC(=O)Nc3ccc(Cl)cc3C)c(=O)c2c1C
P7013830105,Cc1sc2ncnc(SCCc3ccccc3)c2c1C
P7013830022,CC(=O)C(C)Sc1ncnc2sc3c(c12)CCC(C)C3
P7013170379,CCOC(=O)c1csc(N/N=C/c2ccc(Cl)cc2)n1
P7013170283,O=C1c2sc3nc4ccccc4n3c2C(=O)N1c1cc(Cl)ccc1Cl
P7013110106,Cc1nnc(SCCSc2nnc(C)n2N)n1N
P7013060654,CCOC(=O)c1cnc2c(ccc3ccccc32)c1NCCOC(=O)c1ccc(C)cc1
P7013060595,Cc1nc2ccc(Br)cc2c(O)c1CN1CCC(C)CC1
P7013060457,CCOC(=O)c1cnc2ccc(C(=O)OC)cc2c1NCCO
P7013060067,CC(Nc1ncnc2ccc(Br)cc12)c1ccccc1
P7013060064,OCCCCCNc1ncnc2ccc(Br)cc12
P7013050359,CC1CCc2c(sc3ncn4c(CCc5ccccc5)nnc4c23)C1
P7013050280,COc1ccc(-c2csc3ncn(CC(=O)NCc4ccco4)c(=O)c23)cc1
P7013050059,CCOC(=O)c1sc2ncn(Cc3ccc(Cl)cc3Cl)c(=O)c2c1C
P7012340044,CCC(C)OC(=O)C(C)n1cnc2sc(-c3ccccc3)cc2c1=O
P7012270881,Cc1cccc(-c2nc(N(C)C3CCN(C)CC3)c3ccccc3n2)c1.Cl
P7012120302,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc1ccc(OC)c(OC)c1
P7011830192,Cc1ccc2nc(-c3ccccc3)c(CN3CCN(C)CC3)c(O)c2c1
P7011830191,Cc1ccc2nc(-c3ccccc3)c(CN3CCOCC3)c(O)c2c1
P7011520030,CCOC(=O)c1c(N)n(-c2ccc(C)c(Cl)c2)c2nc3ccccc3nc12
P7011460527,O=C(CSc1ncnc2sc3c(c12)CCCC3)c1ccco1
P7011460525,Cc1sc2ncnc(N3CCN(Cc4ccccc4)CC3)c2c1C
P7011460427,CCOC(=O)c1nn(-c2ccc(Br)cc2)cc1O
P7011460421,CCOC(=O)c1nn(-c2ccc(Cl)cc2)cc1O
P7010590268,O=C(O)CCc1nc2ccccc2nc1O
P7010590193,O=C1C(Cl)=C(NC2CCCCC2)C(=O)N1c1cccc(C(F)(F)F)c1
P7010260099,CCOC(=O)c1cnc2ccc(C)cc2c1NCCc1ccccc1
P7010170647,CCOC(=O)c1c(NC(=O)COc2ccccc2Br)sc2c1CCCC2
P7010160092,CCOC(=O)c1cnc2c(ccc3ccccc32)c1NCc1cccnc1
P7010086,Cn1c(=O)c2c(nc3n(-c4ccccc4)c(-c4ccc(O)c(Cl)c4)cn23)n(C)c1=O
P7010010136,Brc1ccc2ncnc(NC3CCCCC3)c2c1
P7010000352,Cc1csc(N/N=C/c2ccc(C(F)(F)F)cc2)n1
P7009841,COCCCn1c(C(=O)NCc2ccccc2Cl)cc2c(=O)n3ccccc3nc21
P7009635,Cc1ccc(Cl)cc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21
P7009630,Cc1ccc(-c2nnc3c4cnn(-c5ccccc5Cl)c4ncn23)cc1
P7009593,Cc1ccccc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21
P7009589,COc1ccc(-c2nnc3c4cnn(-c5ccccc5C)c4ncn23)c(O)c1
P7009585,Cc1ccc(-n2ncc3c2ncn2c(-c4cccc([N+](=O)[O-])c4)nnc32)c(C)c1
P7009583,Cc1ccc(-n2ncc3c2ncn2c(-c4ccccc4Cl)nnc32)c(C)c1
P7009576,Oc1cc2ccccc2cc1-c1nnc2c3cnn(-c4ccc(F)cc4)c3ncn12
P7009566,COc1ccc(-c2nnc3c4cnn(-c5ccc(Cl)cc5)c4ncn23)cc1OC
P7009537,Cc1ccc(-c2nnc3c4cnn(-c5ccc(C)c(Cl)c5)c4ncn23)cc1
P7009488,Cc1ccc(-n2ncc3c(NCCO)nc(N4CCN(c5ccccc5F)CC4)nc32)cc1
P7008860,CC(C)OCCCNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1
