Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P4348957,0,5,4,3.00E+00,5,9.34E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449750>,,c1ccc2c(OCc3nn4c(-c5ccncc5)nnc4s3)cccc2c1
P4351657,0,6,2,3.60E+00,5,1.20E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934497B0>,,O=c1/c(=C/c2cccs2)sc2nc(C3COc4ccccc4O3)nn12
P4354686,2,4,4,1.80E+00,4,8.89E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449810>,,CC(C)n1c(=N)c(C(=O)NCc2ccc(F)cc2)cc2c(=O)n3ccccc3nc21
P4357953,1,5,2,1.60E+00,2,7.23E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449870>,,COC(=O)c1nnc2ccccc2c1O
P4802189,1,6,7,4.70E+00,4,8.16E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934498D0>,,COc1ccc2nc(C)cc(NCCSc3cc(C)nc4ccc(OC)cc34)c2c1
P5051530195,0,3,0,2.70E+00,3,4.34E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449930>,,CC1C2=C(CC(C)(C)CC2=O)OC2=C1C(=O)CC(C)(C)C2
P5081793,0,3,3,3.00E+00,4,4.36E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449990>,,c1ccc(Cn2c(-c3ccncc3)nc3cccnc32)cc1
P6057656,1,5,6,2.90E+00,5,1.19E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934499F0>,,Cc1sc2nc(CCCN3C(=O)c4cccc5cccc(c45)C3=O)n(CCO)c(=O)c2c1C
P6057744,3,8,9,3.10E+00,3,1.88E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449A50>,,CCOC(=O)c1ccc(CNC(=O)CSc2nc3sc(C(=O)O)c(C)c3c(=O)[nH]2)cc1
P6057791,2,8,9,2.40E+00,3,2.07E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449AB0>,,CCOC(=O)c1c(NC(=O)CSc2nnc(Cc3csc(N)n3)n2C)sc(C)c1C
P6057819,2,7,7,3.90E+00,3,1.89E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449B10>,,CCOC(=O)c1c(NC(=O)CSc2nc(N)c3c(C)c(C)sc3n2)sc(C)c1C
P6137712,2,6,4,2.60E+00,5,1.27E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449B70>,,Cc1ccc(-c2nc(C(=O)Nc3ncnc4[nH]cnc34)c(-n3nc(C)cc3C)o2)cc1
P6138100,2,3,3,4.00E+00,3,7.54E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449BD0>,,Cc1cc(C)c(O)c(-c2cc(C(=O)Nc3ccccc3)no2)c1
P6138200,2,2,5,4.00E+00,3,7.13E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449C30>,,Cc1ccc(C)c(NC(=O)CNC(=O)Cc2coc3cc(C)c(C)cc23)c1
P6138204,2,2,5,4.00E+00,3,7.13E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449C90>,,Cc1ccc(NC(=O)CNC(=O)Cc2coc3cc(C)c(C)cc23)c(C)c1
P6138328,2,4,8,1.40E+00,2,9.76E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449CF0>,,COC(=O)CCNC(=O)CNC(=O)Cc1coc2cc(C)c(C)cc12
P6236678,2,3,5,3.00E+00,4,7.51E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449D50>,,CC(C)C(NC(=O)Cc1c[nH]c2ccccc12)c1nnc2ccccn12
P6236972,2,4,6,3.80E+00,3,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449DB0>,,O=C(Cc1csc(-c2cccc(Cl)c2)n1)NCc1cccc(C(=O)O)c1
P6238783,2,3,4,2.50E+00,4,8.38E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449E10>,,Cc1cc(C(=O)NCCc2c[nH]c3ccccc23)c2c(C)noc2n1
P6239127,0,4,4,2.90E+00,3,4.63E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449E70>,,CN(Cc1ccccc1)c1ccc2nnc(C(F)(F)F)n2n1
P6239340,1,6,6,1.20E+00,3,9.31E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449ED0>,,COc1cc2ncn(CCC(=O)Nc3ccccn3)c(=O)c2cc1OC
P6239841,2,4,3,1.00E+00,3,9.71E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449F30>,,CC(=O)Nc1cccc(NC(=O)c2cc(C)nc3onc(C)c23)c1
P6239965,2,4,6,3.30E+00,3,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449F90>,,O=C(Cc1csc(-c2ccccc2F)n1)NCc1cccc(C(=O)O)c1
P6240400,1,4,4,3.10E+00,3,1.00E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456030>,,CC(=O)c1ccc(NC(=O)c2snnc2-c2ccccc2)cc1
P6240999,1,2,3,4.40E+00,5,7.37E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456090>,,O=C(c1c(-n2cccc2)sc2c1CCC2)N1CCC(O)(c2ccc(Cl)cc2)CC1
P6241606,1,5,3,3.10E+00,4,1.23E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934560F0>,,Cc1nnc(NC(=O)Cc2c(C)c3cc4c(C)coc4c(C)c3oc2=O)s1
P6241607,1,5,4,4.30E+00,4,1.23E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456150>,,Cc1coc2c(C)c3oc(=O)c(CC(=O)Nc4nnc(C(C)C)s4)c(C)c3cc12
P6241679,1,5,7,3.70E+00,3,1.18E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934561B0>,,COc1ccccc1CNC(=O)CCSc1ncnc2sc(C)c(C)c12
P6241689,0,6,5,2.70E+00,4,1.16E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456210>,,Cc1sc2ncnc(SCCC(=O)N3CCN(c4ccccn4)CC3)c2c1C
P6243537,1,4,8,4.30E+00,3,7.10E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456270>,,CCCCc1ccc(NC(=O)Cn2nc(-c3ccc(F)cc3OC)ccc2=O)cc1
P6244475,3,2,6,2.70E+00,4,7.89E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934562D0>,,Cn1cc(C(=O)NCCNC(=O)Cc2c[nH]c3ccccc23)c2ccccc21
P6244555,1,4,3,2.70E+00,3,6.27E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456330>,,COc1ccc2ncc(C(=O)N(C)c3ccccc3)c(O)c2c1
P6245404,2,5,7,3.10E+00,4,9.91E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456390>,,O=C(Cn1nc(-c2cccc3ccccc23)ccc1=O)N[C@@H](Cc1ccccc1)C(=O)O
P6245563,2,3,4,1.40E+00,3,8.10E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934563F0>,,CC(=O)Nc1cccc(NC(=O)c2cnn(C)c2-n2cccc2)c1
P6245582,1,2,4,2.50E+00,3,5.19E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456450>,,Cn1ncc(C(=O)NCc2cccc(F)c2)c1-n1cccc1
