Molecule ChEMBL ID,SMILES
CHEMBL339434,C[C@]12CCC3C[C@H](CCO)CCC3C1CC[C@@H]2C#N
CHEMBL440150,Oc1c(-c2ccsc2)cnc2c(-c3cccc(Br)c3)cnn12
CHEMBL187911,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C#N)cc1
CHEMBL476557,O=C(CNC(=O)c1ccc(F)cc1)NC(c1cccc(F)c1)c1cccc(F)c1
CHEMBL2432055,CN(Cc1ccccc1)[C@H]1C2C3CC4C5C3CC2C5C41
CHEMBL2398122,CONC(=O)C1=CCC(N)C1
CHEMBL279517,O=C(OCc1ccccc1)c1cn2c(n1)sc1ccccc12
CHEMBL13663,CN1CCN(c2nn3c(-c4ccccc4)nnc3c3ccccc23)CC1
CHEMBL106051,Oc1c(-c2ccsc2)cnc2c(-c3cccc4ccccc34)cnn12
CHEMBL299155,O=C(O)c1cc(=O)c2ccccc2[nH]1
CHEMBL20346,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2
CHEMBL507241,CCCCP(=O)(O)C1=CCC(N)C1
CHEMBL507116,CC(C)P(=O)(O)C1=CCC(N)C1
CHEMBL2432051,COc1cc(CN[C@H]2C3C4CC5C6C4CC3C6C52)cc(OC)c1OC
CHEMBL476557,O=C(CNC(=O)c1ccc(F)cc1)NC(c1cccc(F)c1)c1cccc(F)c1
CHEMBL487279,NC1CC=C(P(=O)(O)Cc2ccccc2)C1
CHEMBL279969,CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2
CHEMBL83011,Cc1ccc(C(CN)CC(=O)O)o1
CHEMBL300593,CC(C)c1cc(NS(C)(=O)=O)cc(C(C)C)c1O
CHEMBL10638,CCOC(=O)c1ncc2c(c1CC)c1cc(OCc3ccccc3)ccc1n2C
CHEMBL104568,Oc1c(-c2ccsc2)cnc2c(-c3ccccn3)cnn12
CHEMBL146178,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL14316,Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1C
CHEMBL86375,CCOC(=O)c1c(C)nc2c(cnn2CCCC(C)(C)C)c1N
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL356272,COc1cccc(CNC(=O)C(=O)c2c[nH]c3ccccc23)c1
CHEMBL20695,COc1nc2nc(C(=O)c3ccccc3)cn2c(C)c1CC1CC1
CHEMBL353674,CCOC(=O)Nc1cc2c3ccccc3nc-2c[nH]1
CHEMBL275566,COc1cc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc(Br)c1OC
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL52991,CC(C)c1cc(NC(=O)C(F)(F)F)cc(C(C)C)c1O
CHEMBL311761,Oc1cc(C2CCNCC2)on1
CHEMBL87482,NCC(CC(=O)O)c1ccc(Cl)s1
CHEMBL105488,CCCOC(=O)c1cc2c(cn1)sc1ccccc12
CHEMBL278470,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL369432,CCOC(=O)C1CCN(Cc2cc(C(C)C)c(N)c(C(C)C)c2)CC1
CHEMBL20042,O=C1C2C=Nc3ccccc3C2=NN1c1ccc(Cl)cc1
CHEMBL327436,COC(=O)c1c(C)nc2c(c(C)c(C)n2C)c1N
CHEMBL19981,CCCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12
CHEMBL86616,C=CCOC(=O)c1c(C)nc2c(cnn2CCC#CC)c1N
CHEMBL13897,Oc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
CHEMBL21202,CCc1cn2cc(C(=O)c3ccccc3)nc2nc1OC
CHEMBL281164,CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C
CHEMBL60859,OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1
CHEMBL83627,C=CCOC(=O)c1c(C)nc2c(cnn2CCC(C)C)c1N
CHEMBL165236,Cc1cc2c(c(C#N)c1C)NC=NC2C
CHEMBL20983,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCC2
CHEMBL20082,CCCc1c(SC)nc2nc(C(=O)c3ccccc3)cn2c1CC
CHEMBL20584,CCc1ccc2c(c1)c(OC)cc1nc(C(=O)c3ccccc3)cn12
CHEMBL280208,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCC2
CHEMBL147868,O=C(NCc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL71748,Nc1nccn1CC(=O)O
CHEMBL55777,COc1ccc(-c2cc(-c3nc(C)no3)c(=O)n(C)c2-c2ccncc2)cc1
CHEMBL442335,CCCc1cc(SC)nc2nc(C(=O)c3ccccc3)cn12
CHEMBL107447,COc1cccc(-c2cnn3c(O)c(-c4ccsc4)cnc23)c1
CHEMBL335555,C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(-c3nc(-c4ccccc4)no3)ncn1-2
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CHEMBL55987,CC(=O)Nc1cc(C(C)C)c(O)c(C(C)C)c1
CHEMBL74586,O=C(NNc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL71197,N#[N+]c1cccc(C(=O)[O-])c1
CHEMBL314580,C=CCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21
CHEMBL87978,CCCCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21
CHEMBL4516471,O=C(N[C@H]1CCCCC/C=C\C2C[C@@]2(C(=O)O)NC(=O)[C@@H]2C[C@@H](Oc3ccncc3)CN2C1=O)OC1CCCC1
CHEMBL4566600,Cc1c(C(=O)O)cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc12
CHEMBL430297,COCCN(CCOC)c1nn2c(-c3ccc(OC)c(C)c3)nnc2c2ccccc12
CHEMBL74302,O=C(NCc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL351477,Cc1cc2c(c(C#N)c1C)NC(=O)CN=C2C1CC1
CHEMBL299072,O=C(c1ccccn1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
CHEMBL4539943,O=C(O)[C@@H]1[C@@H](Cn2nnc3ccccc3c2=O)CC[C@H]1C(=O)c1ccc(OCCC2CCOCC2)cc1
