AUC,ACC,PRE,REC,,,,,,,
RF,ecfp,val,,,,ave,std,,,
0.923996,0.85641,0.847204,0.846729,,,0.854359,0.014207307,0.854359¡À0.0142073068348649,,
0.934532,0.853846,0.844302,0.866602,,,0.8435974,0.013580615,0.8435974¡À0.0135806150560274,,
0.923158,0.864103,0.857065,0.888417,,,0.864675,0.018461225,0.864675¡À0.01846122540624,,
0.922343,0.866667,0.848579,0.875713,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.971667,0.908163,0.897959,0.916667,,,0.9384592,0.029133696,0.9384592¡À0.0291336958898111,,
0.916597,0.887755,0.859649,0.942308,,,0.8755102,0.037072973,0.8755102¡À0.037072973055853,,
0.910359,0.846939,0.884615,0.836364,,,0.8757486,0.01830639,0.8757486¡À0.0183063895621174,,
0.967865,0.908163,0.854167,0.953488,,,0.8904796,0.066752574,0.8904796¡À0.0667525736455157,,
0.925808,0.826531,0.882353,0.803571,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KNN,RDKit,val,,,,,,,,
0.912861,0.838462,0.8182,0.871185,,,0.9164176,0.007063435,0.9164176¡À0.00706343491511034,,
0.916573,0.84359,0.825055,0.854136,,,0.8512822,0.011466892,0.8512822¡À0.0114668920026309,,
0.922933,0.858974,0.835788,0.881368,,,0.829791,0.007940237,0.829791¡À0.00794023749644807,,
0.906506,0.848718,0.836701,0.888871,,,0.8789472,0.017243795,0.8789472¡À0.0172437947012831,,
0.923215,0.866667,0.833211,0.899176,,,,,,,
,,test,,,,,,,,
0.935208,0.887755,0.836364,0.958333,,,0.9330232,0.019210152,0.9330232¡À0.0192101522560338,,
0.932065,0.918367,0.923077,0.923077,,,0.887755,0.05050788,0.887755¡À0.0505078797664285,,
0.918816,0.806122,0.846154,0.8,,,0.8816606,0.038481168,0.8816606¡À0.0384811679565473,,
0.963848,0.938776,0.893617,0.976744,,,0.9102022,0.06956207,0.9102022¡À0.0695620700863624,,
0.915179,0.887755,0.909091,0.892857,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MPNN,graph,val,,,,,,,,
0.871057,0.814433,0.836735,0.803922,,,0.889894,0.037814426,0.889894¡À0.0378144257724483,,
0.943452,0.865979,0.818182,0.9375,,,0.8238376,0.029751071,0.8238376¡À0.0297510714563358,,
0.855236,0.785714,0.76,0.808511,,,0.8082048,0.03111065,0.8082048¡À0.0311106496187399,,
0.864414,0.816327,0.795918,0.829787,,,0.848493,0.054909959,0.848493¡À0.054909958919125,,
0.915311,0.836735,0.830189,0.862745,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.937839,0.846939,0.891304,0.803922,,,0.8933086,0.033436731,0.8933086¡À0.0334367313414454,,
0.870205,0.824742,0.803571,0.882353,,,0.8237744,0.015046114,0.8237744¡À0.0150461139933207,,
0.920493,0.824742,0.77193,0.916667,,,0.8085572,0.047661458,0.8085572¡À0.0476614584407569,,
0.864831,0.806122,0.791667,0.808511,,,0.8391534,0.057144842,0.8391534¡À0.0571448415020989,,
0.873175,0.816327,0.784314,0.784314,,,,,,,
,,,,,,,,,,
Attentivefp,graph,val,,,,,,,,
0.848484848,0.794117647,0.888888889,0.685714286,,,0.822857143,0.043461134,0.822857142857142¡À0.0434611337704208,,
0.885714286,0.808823529,0.75,0.942857143,,,0.714705882,0.103255822,0.714705882352941¡À0.103255821656129,,
0.778354978,0.764705882,0.707317073,0.878787879,,,0.700010423,0.130889657,0.700010423181154¡À0.130889657107062,,
0.800865801,0.602941176,0.576923077,0.857142857,,,0.844329004,0.095370628,0.844329004329004¡À0.0953706279730413,,
0.800865801,0.602941176,0.576923077,0.857142857,,,,,,,
,,,,,,,,,,
Attentivefp,graph,test,,,,,,,,
0.905220289,0.836734694,0.888888889,0.767123288,,,0.875848914,0.024910476,0.875848913828847¡À0.0249104761005369,,
0.836700337,0.768707483,0.752688172,0.864197531,,,0.779591837,0.042373909,0.779591836734693¡À0.0423739088500613,,
0.873054114,0.80952381,0.815789474,0.815789474,,,0.755550977,0.099500892,0.755550976826134¡À0.0995008923952421,,
0.882134915,0.741496599,0.660194175,0.957746479,,,0.87252065,0.085034094,0.872520649993223¡À0.0850340938659972,,
0.882134915,0.741496599,0.660194175,0.957746479,,,,,,,
,,,,,,,,,,
IPlant,,,,,,,,,,
0.979583333,0.918367347,0.9,0.9375,,,0.994179809,0.008265405,0.994179809104661¡À0.00826540478937355,,
0.99937291,0.979591837,0.962962963,1,,,0.96122449,0.024361911,0.961224489795918¡À0.024361910992476,,
0.998308668,0.969387755,0.981481481,0.963636364,,,0.95710944,0.032843259,0.957109440267335¡À0.0328432585901801,,
0.997885835,0.969387755,0.976190476,0.953488372,,,0.967353519,0.024401892,0.967353518574449¡À0.0244018922617691,,
0.995748299,0.969387755,0.964912281,0.982142857,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,validation set,,,,,test,,,
,,AUC,ACC,PRE,REC,,AUC,ACC,PRE,REC
Attentivefp,graph,82.3¡À4.3,71.5¡À10.3,70.0¡À13.1,84.4¡À9.5,,87.6¡À2.5,78.0¡À4.2,75.6¡À10.0,87.3¡À8.5
MPNN,graph,89.0¡À3.8,82.4¡À3.0,80.8¡À3.1,84.8¡À5.5,,89.3¡À3.3,82.4¡À1.5,80.9¡À4.8,83.9¡À5.7
RF,ECFP4,93.8¡À0.5,85.8¡À0.6,84.7¡À0.7,87.5¡À1.4,,94.8¡À2.3,88.6¡À3.1,88.3¡À3.7,90.5¡À3.1
,MACCS,94.6¡À0.2,86.9¡À0.8,86.6¡À0.9,87.3¡À1.9,,96.4¡À2.6,89.6¡À4.0,90.6¡À2.6,89.8¡À6.5
,RDKit,93.7¡À0.7,86.4¡À0.9,84.9¡À1.1,88.6¡À1.7,,95.7¡À2.0,89.2¡À2.5,90.0¡À1.7,89.3¡À5.1
GBDT,ECFP4,91.8¡À1.1,83.9¡À1.0,82.1¡À1.6,86.4¡À1.3,,93.8¡À3.2,86.3¡À3.7,86.4¡À4.5,87.5¡À2.9
,MACCS,92.3¡À0.8,85.0¡À1.8,84.6¡À0.9,85.4¡À3.7,,94.0¡À3.2,87.6¡À3.7,87.4¡À3.8,89.4¡À6.3
,RDKit,93.1¡À0.3,86.6¡À0.6,85.5¡À1.2,87.9¡À2.8,,94.4¡À1.7,87.3¡À3.4,88.0¡À2.0,87.8¡À6.1
XGB,ECFP4,92.8¡À0.3,85.2¡À0.6,84.1¡À1.9,86.6¡À1.6,,94.1¡À3.5,86.3¡À5.9,86.70¡À3.8,87.4¡À7.3
,MACCS,93.1¡À0.7,85.2¡À1.2,85.0¡À1.0,85.5¡À2.6,,95.4¡À2.8,88.6¡À2.7,89.0¡À2.7,89.3¡À5.1
,RDKit,93.7¡À0.5,86.7¡À1.0,86.2¡À1.8,87.5¡À2.4,,95.0¡À1.9,88.0¡À2.3,87.5¡À3.0,89.5¡À5.1
SVM,ECFP4,92.4¡À0.4,86.5¡À1.2,86.0¡À2.2,87.0¡À2.8,,93.2¡À2.0,86.9¡À2.3,87.4¡À3.8,87.7¡À6.2
,MACCS,94.6¡À0.4,87.4¡À0.5,86.7¡À0.8,88.3¡À1.6,,96.7¡À2.2,88.6¡À3.1,90.0¡À2.7,88.3¡À7.0
,RDKit,90.7¡À4.2,75.2¡À3.0,81.6¡À1.3,74.5¡À18.4,,92.3¡À3.1,77.6¡À9.0,84.3¡À14.9,76.8¡À20.6
KNN,ECFP4,86.9¡À3.4,73.5¡À6.7,66.8¡À8.9,97.1¡À4.2,,90.6¡À2.8,78.2¡À7.3,71.4¡À8.8,98.9¡À1.0
,MACCS,92.3¡À0.8,85.4¡À1.4,84.4¡À1.4,86.5¡À1.8,,93.8¡À2.9,87.6¡À3.7,87.6¡À1.8,89.0¡À6.7
,RDKit,91.6¡À0.7,85.1¡À1.1,83.0¡À0.8,87.9¡À1.7,,93.3¡À1.9,88.8¡À5.1,88.2¡À3.8,91.0¡À7.0
IPlant,,,,,,,99.4¡À0.8,96.1¡À2.4,95.7¡À3.3,96.7¡À2.4
